# sensor:magnetometer
# Requested Sample Rate: 25 Hz
# Chart Presentation Rate: 30 Hz
# Recorded Data Filter: none (unfiltered sensor values; calibration and unit conversion may apply)
time,Bx,By,Bz,BT
11:51:16:007,-23.38,6.38,-45.84,51.85
11:51:16:047,-23.50,6.21,-45.62,51.69
11:51:16:087,-23.69,6.83,-46.06,52.24
11:51:16:127,-23.80,6.34,-46.14,52.30
11:51:16:167,-23.68,5.94,-45.55,51.68
11:51:16:207,-23.47,6.14,-45.86,51.88
11:51:16:247,-23.58,6.21,-45.60,51.71
11:51:16:287,-23.64,6.64,-45.84,52.00
11:51:16:327,-23.92,6.00,-45.80,52.02
11:51:16:367,-23.63,6.12,-45.68,51.79
11:51:16:407,-23.70,6.34,-46.09,52.22
11:51:16:447,-24.05,6.17,-46.26,52.50
11:51:16:487,-23.62,6.50,-45.88,52.01
11:51:16:527,-23.59,6.47,-45.87,51.99
11:51:16:567,-23.56,6.23,-45.62,51.72
11:51:16:607,-23.50,6.15,-46.18,52.18
11:51:16:647,-23.30,6.15,-45.60,51.58
11:51:16:687,-23.70,6.06,-46.15,52.24
11:51:16:727,-23.69,5.71,-45.68,51.77
11:51:16:767,-23.95,6.20,-45.20,51.53
11:51:16:807,-24.00,6.05,-45.52,51.81
11:51:16:847,-24.01,5.81,-45.84,52.07
11:51:16:887,-23.81,6.03,-45.65,51.84
11:51:16:927,-24.01,6.14,-45.98,52.23
11:51:16:967,-23.84,6.31,-46.10,52.28
11:51:17:007,-23.55,6.33,-45.51,51.63
11:51:17:047,-23.95,5.86,-45.88,52.09
11:51:17:087,-23.56,6.48,-45.57,51.70
11:51:17:127,-23.50,6.87,-46.10,52.20
11:51:17:167,-23.23,6.98,-46.52,52.46
11:51:17:207,-23.47,6.89,-46.64,52.67
11:51:17:247,-23.34,6.53,-46.07,52.05
11:51:17:287,-23.03,7.22,-46.47,52.37
11:51:17:327,-23.18,7.06,-45.91,51.91
11:51:17:367,-23.06,6.51,-46.09,51.95
11:51:17:407,-23.38,6.64,-46.16,52.17
11:51:17:447,-23.41,6.10,-45.98,51.96
11:51:17:487,-23.79,5.78,-45.69,51.84
11:51:17:527,-23.83,5.87,-45.44,51.65
11:51:17:567,-23.83,5.99,-45.55,51.76
11:51:17:607,-23.80,5.77,-45.76,51.90
11:51:17:647,-23.72,5.98,-45.48,51.64
11:51:17:687,-23.77,6.00,-45.48,51.67
11:51:17:727,-23.63,5.89,-45.41,51.53
11:51:17:767,-23.44,6.08,-46.13,52.10
11:51:17:807,-23.58,6.16,-45.98,52.04
11:51:17:847,-23.61,6.10,-46.06,52.11
11:51:17:887,-23.56,6.10,-45.73,51.80
11:51:17:927,-23.90,5.84,-45.88,52.06
11:51:17:967,-24.08,5.72,-46.27,52.48
11:51:18:007,-23.91,5.83,-45.62,51.83
11:51:18:047,-23.63,5.99,-45.68,51.78
11:51:18:087,-23.81,6.05,-45.43,51.65
11:51:18:127,-23.70,6.27,-45.99,52.12
11:51:18:167,-23.96,6.14,-45.81,52.06
11:51:18:207,-23.77,5.98,-46.09,52.20
11:51:18:247,-23.46,6.38,-46.27,52.27
11:51:18:287,-23.69,6.37,-45.77,51.93
11:51:18:327,-23.46,6.09,-45.90,51.90
11:51:18:367,-24.06,6.11,-45.90,52.18
11:51:18:407,-23.81,6.22,-46.07,52.23
11:51:18:447,-23.78,6.14,-45.81,51.98
11:51:18:487,-23.95,6.40,-45.59,51.90
11:51:18:527,-24.02,6.00,-45.84,52.10
11:51:18:567,-24.02,5.78,-45.23,51.53
11:51:18:607,-24.12,5.88,-45.65,51.97
11:51:18:647,-24.14,6.06,-45.96,52.27
11:51:18:687,-24.03,6.15,-45.62,51.93
11:51:18:727,-23.52,5.98,-45.34,51.42
11:51:18:767,-23.86,5.78,-45.65,51.84
11:51:18:807,-24.08,5.88,-45.98,52.24
11:51:18:847,-23.74,5.76,-46.01,52.09
11:51:18:887,-23.83,6.17,-46.18,52.33
11:51:18:927,-23.99,6.10,-45.75,52.02
11:51:18:967,-23.88,6.40,-45.69,51.95
11:51:19:007,-23.58,6.56,-45.47,51.64
11:51:19:047,-23.68,6.04,-45.63,51.76
11:51:19:087,-23.67,6.58,-45.82,51.99
11:51:19:127,-23.41,6.09,-46.32,52.26
11:51:19:167,-23.38,6.37,-46.16,52.14
11:51:19:207,-23.88,6.17,-46.19,52.36
