# sensor:magnetometer
# Requested Sample Rate: 50 Hz
# Chart Presentation Rate: 30 Hz
# Recorded Data Filter: none (unfiltered sensor values; calibration and unit conversion may apply)
time,Bx,By,Bz,BT
12:01:02:520,-23.52,6.00,-45.29,51.38
12:01:02:540,-23.95,5.76,-46.24,52.39
12:01:02:560,-23.70,5.23,-46.26,52.24
12:01:02:580,-24.31,5.82,-45.81,52.19
12:01:02:600,-23.44,6.00,-45.92,51.90
12:01:02:620,-23.55,5.89,-46.03,52.04
12:01:02:640,-23.53,6.08,-46.02,52.04
12:01:02:660,-23.64,5.71,-45.19,51.32
12:01:02:680,-23.47,5.88,-46.77,52.66
12:01:02:700,-23.52,6.17,-45.91,51.95
12:01:02:720,-23.12,6.39,-46.02,51.89
12:01:02:740,-24.23,5.72,-46.03,52.33
12:01:02:760,-22.97,5.86,-46.03,51.78
12:01:02:780,-23.46,5.64,-45.51,51.51
12:01:02:800,-23.81,6.05,-45.49,51.71
12:01:02:820,-23.99,5.21,-46.04,52.18
12:01:02:840,-23.40,6.64,-46.12,52.14
12:01:02:860,-23.25,5.84,-45.60,51.52
12:01:02:880,-23.33,6.37,-46.23,52.17
12:01:02:900,-23.84,5.77,-45.71,51.88
12:01:02:920,-23.63,5.98,-45.70,51.80
12:01:02:940,-23.56,5.71,-45.82,51.84
12:01:02:960,-23.44,5.75,-44.65,50.76
12:01:02:980,-23.25,6.01,-46.03,51.92
12:01:03:000,-23.62,5.90,-44.97,51.14
12:01:03:020,-23.68,6.53,-45.69,51.87
12:01:03:040,-23.77,5.60,-45.82,51.92
12:01:03:060,-23.64,5.80,-45.60,51.69
12:01:03:080,-23.83,6.14,-46.23,52.37
12:01:03:100,-23.86,5.40,-45.73,51.86
12:01:03:120,-23.85,5.77,-46.03,52.16
12:01:03:140,-23.79,6.42,-45.69,51.91
12:01:03:160,-23.62,6.08,-45.60,51.72
12:01:03:180,-23.52,6.17,-46.02,52.05
12:01:03:200,-24.03,5.84,-45.92,52.16
12:01:03:220,-23.44,6.09,-46.13,52.10
12:01:03:240,-22.94,6.40,-46.23,52.00
12:01:03:260,-23.83,5.95,-46.02,52.16
12:01:03:280,-23.62,6.08,-45.49,51.62
12:01:03:300,-23.81,6.15,-45.70,51.90
12:01:03:320,-23.99,5.38,-46.47,52.57
12:01:03:340,-23.34,6.36,-46.65,52.55
12:01:03:360,-23.53,5.90,-45.60,51.66
12:01:03:380,-23.73,5.88,-45.71,51.84
12:01:03:400,-23.91,5.87,-45.29,51.55
12:01:03:420,-23.00,6.87,-46.12,51.99
12:01:03:440,-23.31,6.30,-45.59,51.59
12:01:03:460,-23.64,6.15,-46.65,52.66
12:01:03:480,-23.24,6.20,-46.02,51.93
12:01:03:500,-23.36,5.82,-45.82,51.76
12:01:03:520,-22.98,5.77,-46.03,51.77
12:01:03:540,-23.59,5.25,-45.84,51.82
12:01:03:560,-24.27,5.27,-45.82,52.12
12:01:03:580,-23.24,6.28,-46.56,52.41
12:01:03:600,-23.51,6.27,-45.81,51.87
12:01:03:620,-23.62,6.16,-46.02,52.09
12:01:03:640,-23.96,5.40,-45.51,51.71
12:01:03:660,-24.02,5.84,-45.60,51.87
12:01:03:680,-23.03,6.31,-46.13,51.94
12:01:03:700,-24.22,5.83,-45.70,52.05
12:01:03:720,-23.85,5.60,-45.51,51.68
12:01:03:740,-23.86,5.59,-46.14,52.25
12:01:03:760,-23.97,5.31,-45.62,51.80
12:01:03:780,-23.64,6.05,-46.56,52.56
12:01:03:800,-23.55,5.89,-45.71,51.76
12:01:03:820,-23.74,5.78,-45.82,51.93
12:01:03:840,-23.38,6.65,-45.37,51.47
12:01:03:860,-23.62,5.99,-45.38,51.51
12:01:03:880,-23.73,6.05,-46.13,52.23
12:01:03:900,-23.38,5.55,-45.82,51.74
12:01:03:920,-23.96,5.40,-45.30,51.53
12:01:03:940,-23.84,5.69,-45.60,51.77
12:01:03:960,-23.73,5.80,-45.29,51.45
12:01:03:980,-23.83,6.05,-46.02,52.17
12:01:04:000,-24.28,6.37,-45.80,52.23
12:01:04:020,-23.83,5.95,-45.92,52.08
12:01:04:040,-23.23,6.38,-46.34,52.22
12:01:04:060,-23.62,6.16,-45.70,51.81
12:01:04:080,-23.67,5.61,-45.82,51.88
12:01:04:100,-23.55,5.64,-44.87,50.99
12:01:04:120,-23.44,5.92,-45.29,51.33
12:01:04:140,-23.56,5.54,-45.30,51.36
12:01:04:160,-24.24,5.55,-45.51,51.86
12:01:04:180,-23.56,5.71,-45.82,51.84
12:01:04:200,-23.38,5.64,-45.71,51.65
12:01:04:220,-23.69,6.51,-46.23,52.35
12:01:04:240,-23.58,5.51,-46.36,52.30
12:01:04:260,-23.73,5.80,-45.29,51.45
12:01:04:280,-23.34,6.27,-46.56,52.45
12:01:04:300,-24.01,5.94,-45.49,51.78
12:01:04:320,-23.33,6.11,-45.49,51.49
12:01:04:340,-23.24,6.11,-45.70,51.63
12:01:04:360,-23.64,5.89,-45.71,51.80
12:01:04:380,-23.79,6.25,-45.16,51.43
12:01:04:400,-23.70,6.25,-45.80,51.95
12:01:04:420,-23.66,5.71,-45.60,51.69
12:01:04:440,-23.25,6.01,-46.03,51.92
12:01:04:460,-24.22,5.92,-45.70,52.06
12:01:04:480,-23.77,5.69,-46.14,52.21
12:01:04:500,-23.75,5.78,-45.92,52.02
12:01:04:520,-24.31,5.73,-45.49,51.90
12:01:04:540,-23.85,5.86,-46.35,52.45
12:01:04:560,-24.03,5.84,-46.03,52.26
12:01:04:580,-23.36,5.65,-45.62,51.56
12:01:04:600,-23.07,6.87,-45.47,51.45
12:01:04:620,-23.92,5.94,-46.02,52.20
12:01:04:640,-23.31,6.47,-46.12,52.08
12:01:04:660,-23.66,5.78,-46.14,52.17
12:01:04:680,-23.44,6.00,-45.81,51.81
12:01:04:700,-23.24,6.03,-45.49,51.44
12:01:04:720,-23.40,6.38,-45.38,51.46
12:01:04:740,-23.24,6.20,-46.02,51.93
12:01:04:760,-23.01,6.59,-46.01,51.86
12:01:04:780,-23.13,6.30,-46.13,51.99
12:01:04:800,-23.06,5.77,-45.29,51.15
12:01:04:820,-23.46,5.72,-45.82,51.80
12:01:04:840,-23.20,6.65,-46.43,52.33
12:01:04:860,-23.55,5.81,-45.49,51.55
12:01:04:880,-23.20,6.58,-45.80,51.76
12:01:04:900,-24.02,5.93,-46.02,52.25
12:01:04:920,-23.61,6.17,-45.59,51.71
12:01:04:940,-23.31,6.45,-46.34,52.27
12:01:04:960,-23.66,5.80,-45.92,51.98
12:01:04:980,-23.63,5.98,-45.70,51.80
12:01:05:000,-23.83,5.95,-45.92,52.08
12:01:05:020,-23.08,5.76,-45.93,51.73
12:01:05:040,-23.64,6.81,-45.26,51.52
12:01:05:060,-23.58,5.43,-45.82,51.82
12:01:05:080,-23.34,5.93,-45.49,51.47
12:01:05:100,-23.68,5.59,-46.57,52.54
12:01:05:120,-24.40,5.90,-45.59,52.05
12:01:05:140,-23.59,6.43,-46.01,52.10
12:01:05:160,-24.13,5.58,-45.19,51.53
