# sensor:magnetometer
# Requested Sample Rate: 80 Hz
# Chart Presentation Rate: 30 Hz
# Recorded Data Filter: none (unfiltered sensor values; calibration and unit conversion may apply)
time,Bx,By,Bz,BT
12:09:11:973,-23.69,4.89,-44.79,50.90
12:09:11:983,-23.50,5.09,-45.31,51.29
12:09:12:003,-23.40,4.93,-44.25,50.30
12:09:12:013,-23.69,5.06,-45.41,51.47
12:09:12:023,-23.78,5.15,-45.20,51.33
12:09:12:033,-23.44,4.55,-44.90,50.85
12:09:12:053,-23.70,4.79,-44.79,50.90
12:09:12:063,-23.33,4.75,-44.90,50.82
12:09:12:073,-23.90,5.12,-45.84,51.95
12:09:12:083,-23.72,4.79,-45.10,51.18
12:09:12:103,-23.06,4.76,-45.75,51.45
12:09:12:113,-23.80,4.95,-45.52,51.60
12:09:12:123,-24.38,4.90,-45.20,51.59
12:09:12:133,-24.02,5.67,-45.08,51.39
12:09:12:153,-23.42,4.73,-45.10,51.04
12:09:12:163,-23.80,4.78,-44.99,51.13
12:09:12:173,-23.39,5.28,-45.30,51.25
12:09:12:183,-23.50,5.00,-44.99,51.01
12:09:12:203,-24.00,4.86,-44.99,51.22
12:09:12:213,-23.31,4.84,-44.68,50.63
12:09:12:223,-23.58,5.18,-44.77,50.87
12:09:12:233,-23.31,5.10,-45.52,51.40
12:09:12:253,-23.92,4.59,-45.10,51.26
12:09:12:263,-23.91,4.59,-44.90,51.07
12:09:12:273,-23.39,5.28,-45.41,51.35
12:09:12:283,-23.72,4.71,-44.90,50.99
12:09:12:303,-23.59,5.08,-45.20,51.24
12:09:12:313,-23.07,5.60,-44.87,50.76
12:09:12:323,-23.47,5.20,-44.66,50.72
12:09:12:333,-23.24,4.93,-45.74,51.54
12:09:12:353,-23.57,5.27,-44.55,50.68
12:09:12:363,-23.29,5.21,-44.99,50.93
12:09:12:373,-23.51,5.09,-45.42,51.40
12:09:12:383,-23.46,4.37,-45.12,51.04
12:09:12:403,-23.80,4.97,-45.31,51.42
12:09:12:413,-23.59,5.08,-45.31,51.34
12:09:12:423,-23.81,4.78,-45.21,51.32
12:09:12:433,-23.41,5.10,-45.42,51.35
12:09:12:453,-23.92,4.59,-45.01,51.18
12:09:12:463,-23.41,4.83,-44.58,50.58
12:09:12:473,-23.01,5.06,-44.68,50.51
12:09:12:483,-23.88,5.23,-45.30,51.47
12:09:12:503,-23.58,5.17,-45.09,51.15
12:09:12:513,-23.20,4.95,-44.47,50.40
12:09:12:523,-23.72,4.70,-45.10,51.17
12:09:12:533,-23.39,5.28,-44.98,50.97
12:09:12:553,-23.36,5.56,-45.08,51.08
12:09:12:563,-23.19,5.12,-44.77,50.68
12:09:12:573,-23.40,5.01,-44.79,50.78
12:09:12:583,-23.17,5.50,-44.55,50.52
12:09:12:603,-23.85,5.51,-45.08,51.30
12:09:12:613,-23.20,5.38,-45.73,51.56
12:09:12:623,-23.57,5.18,-44.57,50.68
12:09:12:633,-23.27,4.47,-45.32,51.14
