# sensor:magnetometer
# Requested Sample Rate: 15 Hz
# Chart Presentation Rate: 30 Hz
# Recorded Data Filter: none (unfiltered sensor values; calibration and unit conversion may apply)
time,Bx,By,Bz,BT
11:46:48:722,-23.57,6.91,-47.31,53.31
11:46:48:802,-24.36,6.62,-46.69,53.08
11:46:48:882,-24.36,6.30,-46.53,52.90
11:46:48:922,-24.11,6.38,-46.53,52.79
11:46:49:002,-24.42,6.75,-46.67,53.10
11:46:49:082,-24.25,6.10,-46.49,52.79
11:46:49:122,-24.42,6.80,-46.35,52.83
11:46:49:202,-23.97,6.43,-47.06,53.20
11:46:49:282,-24.33,6.38,-46.23,52.62
11:46:49:322,-24.13,6.77,-46.52,52.84
11:46:49:402,-24.55,6.19,-46.45,52.90
11:46:49:482,-24.08,6.76,-46.84,53.10
11:46:49:522,-24.00,6.58,-46.01,52.30
11:46:49:602,-24.38,6.17,-46.93,53.24
11:46:49:682,-24.40,6.11,-46.91,53.23
11:46:49:722,-24.24,6.55,-46.53,52.87
11:46:49:802,-24.31,6.60,-46.24,52.66
11:46:49:882,-24.35,6.59,-46.25,52.68
11:46:49:922,-24.17,6.71,-46.87,53.16
11:46:50:002,-24.13,6.48,-46.41,52.71
11:46:50:082,-23.99,6.71,-46.88,53.09
11:46:50:122,-24.40,6.05,-46.81,53.13
11:46:50:202,-24.36,5.98,-46.35,52.70
11:46:50:282,-24.13,6.47,-46.82,53.07
11:46:50:322,-23.92,6.62,-45.85,52.14
11:46:50:402,-24.06,6.34,-46.12,52.40
11:46:50:482,-24.34,6.20,-46.95,53.24
11:46:50:522,-24.22,6.21,-46.82,53.08
11:46:50:602,-24.14,6.39,-45.84,52.20
11:46:50:682,-24.17,6.48,-46.56,52.85
11:46:50:722,-24.11,6.81,-47.43,53.64
11:46:50:802,-24.33,6.48,-47.24,53.53
11:46:50:882,-24.27,6.27,-46.41,52.74
11:46:50:962,-24.42,6.60,-47.15,53.51
11:46:51:002,-24.40,6.54,-46.45,52.87
11:46:51:082,-24.49,6.39,-46.26,52.73
11:46:51:162,-24.39,6.25,-46.47,52.85
11:46:51:202,-24.00,6.70,-46.14,52.44
11:46:51:282,-24.12,6.34,-46.41,52.69
11:46:51:322,-23.99,6.45,-47.01,53.17
11:46:51:402,-24.25,6.72,-46.75,53.09
11:46:51:482,-23.83,6.64,-46.12,52.33
11:46:51:522,-24.23,6.25,-46.19,52.53
11:46:51:602,-24.20,6.26,-46.52,52.81
11:46:51:682,-24.28,6.75,-46.25,52.67
11:46:51:722,-24.45,6.45,-46.43,52.87
11:46:51:802,-24.55,6.33,-46.31,52.80
11:46:51:882,-24.09,6.45,-46.09,52.41
11:46:51:922,-24.41,6.30,-46.20,52.63
11:46:52:002,-24.03,6.17,-46.48,52.69
11:46:52:082,-24.60,6.37,-46.59,53.07
11:46:52:122,-24.39,6.59,-46.42,52.85
11:46:52:202,-24.17,6.31,-46.45,52.74
11:46:52:282,-24.35,6.64,-46.18,52.62
11:46:52:322,-24.36,6.75,-46.59,53.01
11:46:52:402,-24.12,6.23,-46.62,52.86
11:46:52:482,-24.53,6.32,-46.62,53.06
11:46:52:562,-24.02,6.21,-46.41,52.62
11:46:52:602,-24.16,6.44,-47.04,53.27
11:46:52:682,-24.23,6.42,-46.47,52.80
11:46:52:722,-24.02,6.65,-46.37,52.65
11:46:52:802,-24.30,6.48,-46.77,53.11
