# sensor:magnetometer
# Requested Sample Rate: 40 Hz
# Chart Presentation Rate: 30 Hz
# Recorded Data Filter: none (unfiltered sensor values; calibration and unit conversion may apply)
time,Bx,By,Bz,BT
11:54:44:246,-24.23,5.65,-45.40,51.77
11:54:44:266,-23.23,6.11,-45.60,51.54
11:54:44:306,-23.73,6.31,-47.08,53.10
11:54:44:326,-23.69,6.43,-46.01,52.15
11:54:44:346,-23.59,6.36,-45.48,51.63
11:54:44:366,-23.94,5.77,-45.71,51.92
11:54:44:406,-23.38,6.73,-45.90,51.94
11:54:44:426,-23.20,6.48,-45.69,51.65
11:54:44:446,-23.61,6.34,-45.80,51.91
11:54:44:466,-23.03,6.49,-46.43,52.24
11:54:44:506,-23.64,6.05,-46.45,52.47
11:54:44:526,-24.08,6.38,-46.01,52.32
11:54:44:546,-23.08,6.86,-45.69,51.65
11:54:44:566,-23.57,6.97,-46.85,52.90
11:54:44:606,-23.77,6.78,-46.10,52.31
11:54:44:626,-23.07,7.12,-46.31,52.23
11:54:44:646,-23.39,6.72,-46.32,52.33
11:54:44:666,-22.64,7.45,-45.66,51.51
11:54:44:706,-23.52,6.17,-45.81,51.87
11:54:44:726,-23.24,6.28,-46.34,52.22
11:54:44:746,-23.90,6.14,-45.70,51.94
11:54:44:766,-23.94,5.86,-45.92,52.11
11:54:44:806,-23.61,6.17,-45.49,51.62
11:54:44:826,-23.33,6.01,-45.38,51.38
11:54:44:846,-24.20,6.01,-45.81,52.16
11:54:44:866,-24.06,6.75,-46.42,52.72
11:54:44:906,-24.09,6.12,-45.38,51.75
11:54:44:926,-23.64,6.06,-46.34,52.37
11:54:44:946,-24.01,6.12,-45.91,52.17
11:54:44:966,-23.83,6.04,-46.13,52.27
11:54:45:006,-23.79,6.42,-45.69,51.91
11:54:45:026,-23.73,5.89,-45.29,51.46
11:54:45:046,-23.59,6.53,-46.32,52.39
11:54:45:066,-24.23,5.65,-45.49,51.85
11:54:45:106,-23.42,6.10,-45.60,51.63
11:54:45:126,-23.63,5.89,-45.60,51.70
11:54:45:146,-23.57,6.62,-45.58,51.74
11:54:45:166,-23.73,5.98,-45.60,51.75
11:54:45:206,-23.94,5.86,-45.81,52.02
11:54:45:226,-23.68,6.61,-45.90,52.07
11:54:45:246,-23.70,6.25,-45.70,51.86
11:54:45:266,-23.70,6.16,-45.59,51.75
11:54:45:306,-23.96,5.66,-46.25,52.40
11:54:45:326,-23.44,6.09,-45.92,51.91
11:54:45:346,-23.50,6.62,-46.21,52.27
11:54:45:366,-23.95,6.86,-45.90,52.22
11:54:45:406,-23.92,6.04,-46.13,52.31
11:54:45:426,-23.48,6.62,-46.12,52.17
11:54:45:446,-23.69,6.43,-45.80,51.96
11:54:45:466,-24.03,6.01,-46.45,52.64
11:54:45:506,-23.63,5.81,-45.40,51.51
11:54:45:526,-23.81,6.14,-46.02,52.18
11:54:45:546,-23.40,6.55,-45.80,51.85
11:54:45:566,-23.79,6.33,-45.69,51.90
11:54:45:606,-23.55,5.81,-45.82,51.84
11:54:45:626,-23.45,5.99,-46.03,52.01
11:54:45:646,-23.50,6.71,-46.75,52.75
11:54:45:666,-23.70,6.50,-46.64,52.72
11:54:45:706,-23.75,6.80,-45.58,51.84
11:54:45:726,-23.46,5.64,-45.62,51.60
11:54:45:746,-23.63,6.23,-46.54,52.57
11:54:45:766,-23.84,5.87,-45.81,51.97
11:54:45:806,-23.73,5.97,-45.81,51.94
11:54:45:826,-23.81,6.06,-45.38,51.61
11:54:45:846,-23.88,6.59,-45.90,52.15
11:54:45:866,-23.59,6.53,-46.01,52.11
11:54:45:906,-23.94,5.94,-46.13,52.31
11:54:45:926,-23.53,7.09,-45.68,51.87
11:54:45:946,-22.96,7.41,-46.73,52.59
11:54:45:966,-24.25,5.37,-45.40,51.75
11:54:46:006,-23.30,6.48,-45.69,51.70
11:54:46:026,-23.84,5.87,-45.92,52.07
11:54:46:046,-23.13,6.30,-46.13,51.99
11:54:46:066,-24.24,5.47,-45.51,51.85
11:54:46:106,-23.73,5.88,-45.71,51.84
11:54:46:126,-24.05,5.66,-45.82,52.06
11:54:46:146,-24.33,5.64,-45.71,52.09
11:54:46:166,-23.62,6.08,-45.70,51.80
11:54:46:206,-24.01,5.87,-44.97,51.31
11:54:46:226,-23.89,6.23,-45.48,51.75
11:54:46:246,-23.64,5.89,-45.71,51.80
11:54:46:266,-24.41,5.72,-45.49,51.95
11:54:46:306,-23.42,6.01,-45.29,51.34
11:54:46:326,-23.85,5.76,-46.24,52.34
11:54:46:346,-23.58,6.44,-45.48,51.64
11:54:46:366,-23.73,5.97,-45.81,51.94
11:54:46:406,-23.88,6.33,-45.16,51.48
11:54:46:426,-23.69,6.26,-45.38,51.58
11:54:46:446,-23.97,6.49,-45.69,52.00
11:54:46:466,-23.57,6.81,-45.90,52.04
11:54:46:506,-23.33,6.28,-45.91,51.88
11:54:46:526,-23.79,6.33,-45.69,51.90
11:54:46:546,-23.68,6.53,-45.48,51.69
11:54:46:566,-23.85,5.69,-45.82,51.97
11:54:46:606,-24.33,5.72,-46.03,52.38
11:54:46:626,-23.70,6.33,-46.12,52.24
11:54:46:646,-24.12,5.92,-46.13,52.39
11:54:46:666,-23.96,6.33,-44.74,51.14
11:54:46:706,-23.88,6.42,-45.59,51.86
11:54:46:726,-23.73,5.97,-45.70,51.84
11:54:46:746,-24.45,5.61,-46.35,52.70
11:54:46:766,-23.92,6.12,-46.34,52.51
11:54:46:806,-23.97,6.40,-45.37,51.71
11:54:46:826,-23.42,6.17,-46.02,52.00
11:54:46:846,-23.95,5.76,-46.03,52.21
11:54:46:866,-24.35,5.44,-46.14,52.45
11:54:46:906,-23.81,5.97,-45.29,51.51
11:54:46:926,-23.70,6.16,-45.27,51.47
11:54:46:946,-22.78,7.08,-45.90,51.72
11:54:46:966,-23.92,6.12,-46.45,52.60
11:54:47:006,-24.01,6.03,-45.70,51.97
11:54:47:026,-23.92,5.77,-45.40,51.64
11:54:47:046,-23.73,5.97,-45.81,51.94
11:54:47:066,-23.61,6.17,-45.59,51.71
11:54:47:106,-23.64,6.82,-44.93,51.23
11:54:47:126,-24.09,6.21,-45.80,52.12
11:54:47:146,-23.91,7.23,-45.77,52.15
11:54:47:166,-23.70,5.99,-44.86,51.09
11:54:47:206,-23.48,6.81,-46.32,52.38
11:54:47:226,-23.38,6.73,-45.69,51.76
11:54:47:246,-23.57,6.81,-45.79,51.95
11:54:47:266,-23.70,6.25,-45.91,52.04
11:54:47:306,-24.00,6.14,-45.27,51.61
11:54:47:326,-23.90,6.32,-45.91,52.14
11:54:47:346,-23.46,6.91,-45.90,52.01
11:54:47:366,-23.53,5.90,-45.60,51.66
11:54:47:406,-23.25,5.84,-45.60,51.52
11:54:47:426,-23.33,6.20,-45.59,51.59
11:54:47:446,-23.90,6.14,-45.59,51.84
11:54:47:466,-23.30,6.47,-45.80,51.79
11:54:47:506,-23.91,5.97,-45.18,51.46
11:54:47:526,-23.83,5.97,-45.70,51.88
11:54:47:546,-23.86,6.60,-45.69,51.97
11:54:47:566,-24.00,6.22,-45.70,51.99
11:54:47:606,-24.18,6.38,-45.91,52.28
11:54:47:626,-24.02,5.86,-45.49,51.78
11:54:47:646,-23.41,6.37,-45.70,51.74
11:54:47:666,-23.72,6.25,-46.02,52.15
11:54:47:706,-23.57,6.81,-46.10,52.23
11:54:47:726,-23.85,5.59,-45.62,51.78
11:54:47:746,-23.73,6.05,-46.02,52.13
11:54:47:766,-23.69,6.43,-45.80,51.96
11:54:47:806,-24.22,5.92,-45.92,52.25
11:54:47:826,-23.77,5.42,-45.41,51.54
11:54:47:846,-23.12,6.48,-46.12,51.99
11:54:47:866,-24.50,5.98,-45.91,52.38
11:54:47:906,-23.66,5.70,-46.03,52.07
11:54:47:926,-23.81,5.97,-45.38,51.60
11:54:47:946,-24.19,6.20,-45.80,52.17
11:54:47:966,-23.72,6.23,-46.13,52.24
11:54:48:006,-23.88,6.50,-45.48,51.78
11:54:48:026,-24.23,5.73,-45.71,52.05
11:54:48:046,-23.90,5.12,-45.95,52.04
11:54:48:066,-23.05,6.12,-46.03,51.84
11:54:48:106,-24.08,6.12,-45.27,51.65
