# sensor:magnetometer
# Requested Sample Rate: 100 Hz
# Chart Presentation Rate: 30 Hz
# Recorded Data Filter: none (unfiltered sensor values; calibration and unit conversion may apply)
time,Bx,By,Bz,BT
12:06:21:714,-24.30,4.64,-45.10,51.44
12:06:21:724,-23.48,5.10,-44.77,50.82
12:06:21:734,-23.29,5.04,-44.04,50.07
12:06:21:744,-23.78,5.25,-45.20,51.34
12:06:21:754,-23.72,4.79,-45.21,51.28
12:06:21:764,-23.40,5.01,-44.99,50.96
12:06:21:774,-24.00,4.68,-44.68,50.93
12:06:21:784,-23.79,4.88,-44.79,50.95
12:06:21:794,-23.55,5.55,-44.44,50.60
12:06:21:804,-24.20,4.56,-44.90,51.21
12:06:21:814,-24.20,4.56,-44.90,51.21
12:06:21:824,-23.85,5.42,-45.08,51.29
12:06:21:834,-22.36,6.04,-44.97,50.58
12:06:21:844,-23.78,5.08,-44.68,50.86
12:06:21:854,-23.95,5.32,-44.87,51.14
12:06:21:864,-23.78,5.25,-45.20,51.34
12:06:21:874,-23.68,5.34,-45.52,51.59
12:06:21:884,-23.36,5.31,-44.03,50.13
12:06:21:894,-23.77,5.16,-44.57,50.77
12:06:21:904,-23.50,5.27,-45.63,51.59
12:06:21:914,-23.61,4.99,-45.10,51.15
12:06:21:924,-23.97,5.05,-44.66,50.94
12:06:21:934,-23.68,4.99,-44.36,50.53
12:06:21:944,-23.99,4.95,-44.99,51.23
12:06:21:954,-23.69,5.06,-45.41,51.47
12:06:21:964,-23.72,4.88,-45.53,51.57
12:06:21:974,-23.75,5.43,-45.19,51.34
12:06:21:984,-23.96,5.32,-45.09,51.34
12:06:21:994,-23.22,5.03,-45.31,51.16
12:06:22:004,-23.89,5.14,-45.30,51.47
12:06:22:014,-24.13,4.47,-45.53,51.72
12:06:22:024,-23.75,4.42,-45.54,51.55
12:06:22:034,-23.78,4.98,-44.57,50.76
12:06:22:044,-24.03,4.39,-45.12,51.31
12:06:22:054,-24.31,4.54,-45.42,51.72
12:06:22:064,-23.40,4.17,-45.76,51.57
12:06:22:074,-23.38,5.12,-43.93,50.03
12:06:22:084,-23.70,4.89,-44.99,51.09
12:06:22:094,-23.41,5.00,-45.20,51.15
12:06:22:104,-22.89,5.51,-45.19,50.95
12:06:22:114,-24.03,5.40,-44.55,50.91
12:06:22:124,-23.58,5.09,-44.77,50.86
12:06:22:134,-23.18,5.49,-45.41,51.28
12:06:22:144,-24.16,5.12,-44.77,51.13
12:06:22:154,-24.16,5.29,-45.41,51.71
12:06:22:164,-23.38,5.38,-44.77,50.79
12:06:22:174,-23.50,5.17,-45.31,51.30
12:06:22:184,-23.77,5.25,-44.87,51.05
12:06:22:194,-23.28,5.39,-44.77,50.75
12:06:22:204,-23.97,5.22,-45.20,51.43
12:06:22:214,-23.80,4.79,-44.79,50.94
12:06:22:224,-23.67,5.26,-44.66,50.82
12:06:22:234,-23.41,5.18,-45.74,51.64
12:06:22:244,-23.69,5.08,-44.99,51.10
12:06:22:254,-23.63,5.55,-44.33,50.55
12:06:22:264,-23.20,5.04,-44.57,50.50
12:06:22:274,-23.62,5.65,-44.13,50.37
12:06:22:284,-23.73,4.53,-44.80,50.90
12:06:22:294,-23.23,4.93,-45.31,51.16
12:06:22:304,-23.48,5.27,-45.41,51.39
12:06:22:314,-23.68,5.08,-44.77,50.90
12:06:22:324,-23.94,4.32,-44.69,50.88
12:06:22:334,-24.14,5.31,-44.76,51.13
12:06:22:344,-24.40,4.54,-45.01,51.40
12:06:22:354,-23.90,4.87,-44.99,51.18
12:06:22:364,-23.47,5.37,-45.09,51.12
12:06:22:374,-23.79,4.98,-44.77,50.95
12:06:22:384,-23.80,4.88,-44.88,51.04
12:06:22:394,-23.70,4.89,-44.88,50.99
12:06:22:404,-23.31,5.01,-45.20,51.11
12:06:22:414,-23.53,4.45,-44.48,50.52
12:06:22:424,-24.06,5.12,-44.77,51.09
12:06:22:434,-23.39,5.20,-45.09,51.06
12:06:22:444,-23.79,4.97,-44.99,51.14
12:06:22:454,-23.57,5.27,-44.77,50.87
12:06:22:464,-23.58,5.26,-45.20,51.25
12:06:22:474,-24.11,4.83,-45.52,51.73
12:06:22:484,-24.22,4.48,-44.79,51.11
12:06:22:494,-23.78,5.06,-44.77,50.95
12:06:22:504,-23.50,5.09,-44.99,51.01
12:06:22:514,-23.57,5.27,-44.55,50.68
12:06:22:524,-24.30,4.65,-44.90,51.26
12:06:22:534,-23.51,5.00,-45.20,51.19
12:06:22:544,-23.73,4.53,-44.90,50.98
12:06:22:554,-23.70,4.79,-44.90,51.00
12:06:22:564,-23.92,4.76,-45.85,51.93
12:06:22:574,-22.90,5.25,-44.77,50.56
12:06:22:584,-23.59,4.90,-44.79,50.86
12:06:22:594,-23.59,5.08,-45.09,51.14
12:06:22:604,-23.53,5.65,-44.55,50.70
12:06:22:614,-24.20,4.66,-44.90,51.22
12:06:22:624,-23.80,4.87,-45.31,51.41
12:06:22:634,-23.58,5.17,-44.98,51.05
12:06:22:644,-23.58,5.26,-45.30,51.34
12:06:22:654,-24.18,4.84,-44.79,51.13
12:06:22:664,-23.19,5.31,-45.20,51.08
12:06:22:674,-23.33,4.75,-45.01,50.91
12:06:22:684,-24.00,4.76,-45.10,51.31
12:06:22:694,-23.62,4.81,-45.21,51.24
12:06:22:704,-23.90,4.77,-44.99,51.17
12:06:22:714,-24.08,5.11,-45.41,51.65
12:06:22:724,-24.00,4.86,-45.31,51.50
12:06:22:734,-23.64,5.62,-44.87,51.03
12:06:22:744,-23.70,4.81,-44.68,50.80
12:06:22:754,-23.50,5.00,-44.99,51.01
