# sensor:magnetometer
# Requested Sample Rate: 10 Hz
# Chart Presentation Rate: 30 Hz
# Recorded Data Filter: none (unfiltered sensor values; calibration and unit conversion may apply)
time,Bx,By,Bz,BT
21:43:16:026,28.82,-3.38,-30.68,42.23
21:43:16:106,28.88,-3.27,-30.66,42.24
21:43:16:186,28.85,-3.17,-30.88,42.38
21:43:16:346,28.51,-3.68,-30.74,42.09
21:43:16:426,28.72,-3.18,-30.85,42.27
21:43:16:506,28.65,-3.51,-30.68,42.12
21:43:16:586,28.71,-3.48,-30.70,42.17
21:43:16:746,28.77,-3.45,-31.13,42.53
21:43:16:826,28.73,-3.18,-31.22,42.55
21:43:16:906,28.57,-3.70,-30.66,42.07
21:43:16:986,28.38,-3.60,-31.00,42.18
21:43:17:146,28.71,-3.31,-30.61,42.09
21:43:17:226,28.69,-3.23,-30.65,42.11
21:43:17:306,28.91,-3.23,-31.00,42.51
21:43:17:386,28.72,-3.28,-31.05,42.42
21:43:17:611,28.98,-3.09,-30.87,42.45
21:43:17:711,28.76,-3.56,-30.56,42.11
21:43:17:811,28.76,-3.39,-30.98,42.40
21:43:17:911,28.96,-3.37,-30.77,42.39
21:43:18:011,28.87,-3.20,-31.07,42.53
21:43:18:111,28.98,-3.09,-30.87,42.45
21:43:18:211,28.17,-3.64,-30.66,41.79
21:43:18:311,28.52,-3.88,-30.99,42.30
21:43:18:411,28.80,-2.93,-30.65,42.16
21:43:18:511,28.89,-3.17,-30.01,41.78
21:43:18:611,28.27,-3.62,-30.55,41.78
21:43:18:711,28.49,-3.33,-30.76,42.05
21:43:18:811,28.38,-3.51,-30.66,41.92
21:43:18:911,28.71,-4.12,-30.57,42.14
21:43:19:011,28.77,-3.29,-30.98,42.40
21:43:19:111,28.23,-2.89,-30.85,41.92
21:43:19:211,28.22,-2.82,-31.38,42.29
21:43:19:311,28.78,-3.38,-30.34,41.96
21:43:19:411,29.01,-3.73,-31.20,42.76
21:43:19:511,28.89,-3.01,-30.96,42.46
21:43:19:611,28.83,-3.84,-30.78,42.35
21:43:19:711,28.76,-3.49,-30.98,42.41
21:43:19:811,29.48,-2.68,-31.49,43.21
21:43:19:911,28.68,-3.14,-31.28,42.56
21:43:20:011,29.18,-2.89,-31.07,42.73
21:43:20:111,28.41,-2.88,-30.96,42.12
21:43:20:211,28.76,-3.48,-30.77,42.26
21:43:20:311,28.77,-3.38,-30.55,42.10
21:43:20:411,28.57,-3.40,-30.76,42.12
21:43:20:511,28.79,-2.94,-31.17,42.54
21:43:20:611,28.54,-3.87,-30.78,42.15
21:43:20:711,28.85,-3.56,-30.66,42.25
21:43:20:811,28.83,-2.65,-30.74,42.23
21:43:20:911,28.38,-3.34,-31.29,42.38
21:43:21:011,29.00,-2.82,-31.17,42.67
21:43:21:111,28.45,-3.43,-31.50,42.58
21:43:21:211,28.95,-3.38,-31.09,42.61
21:43:21:311,28.99,-3.17,-30.44,42.15
21:43:21:411,28.80,-2.93,-30.74,42.23
21:43:21:511,28.19,-3.36,-30.55,41.71
21:43:21:611,28.39,-3.25,-30.96,42.13
21:43:21:711,28.61,-3.95,-31.10,42.44
21:43:21:811,28.28,-3.27,-31.61,42.54
21:43:21:911,28.96,-3.36,-30.44,42.15
21:43:22:011,28.68,-3.12,-31.07,42.40
21:43:22:111,28.82,-2.83,-30.65,42.16
21:43:22:211,28.67,-3.48,-30.45,41.97
21:43:22:311,28.46,-3.51,-30.98,42.21
21:43:22:411,29.16,-3.26,-30.66,42.44
21:43:22:511,28.33,-3.81,-31.31,42.39
21:43:22:611,28.57,-3.49,-30.23,41.74
21:43:22:711,29.17,-4.00,-31.84,43.37
21:43:22:811,28.95,-3.38,-31.09,42.61
21:43:22:911,28.79,-2.94,-31.17,42.54
21:43:23:011,29.01,-2.72,-30.74,42.36
21:43:23:111,29.12,-2.53,-30.84,42.49
21:43:23:211,28.60,-3.14,-30.76,42.11
21:43:23:311,28.96,-3.28,-30.98,42.53
21:43:23:411,29.13,-3.45,-31.29,42.89
21:43:23:511,28.45,-3.70,-30.99,42.23
21:43:23:611,29.07,-3.09,-30.87,42.51
21:43:23:711,28.30,-4.26,-30.78,42.03
21:43:23:811,28.96,-3.28,-30.98,42.53
21:43:23:911,28.96,-3.45,-30.45,42.17
21:43:24:011,28.87,-3.37,-30.44,42.08
21:43:24:111,28.74,-3.57,-30.98,42.41
21:43:24:211,28.89,-3.18,-30.23,41.94
21:43:24:311,28.47,-3.50,-30.55,41.91
21:43:24:411,28.57,-3.23,-31.29,42.50
21:43:24:511,28.57,-3.23,-31.39,42.57
21:43:24:611,28.49,-3.23,-30.87,42.13
21:43:24:711,29.07,-3.17,-30.76,42.44
21:43:24:811,28.60,-3.12,-30.44,41.88
21:43:24:911,28.52,-4.05,-30.67,42.08
21:43:25:011,28.52,-3.96,-31.10,42.38
21:43:25:111,28.22,-2.99,-30.74,41.84
21:43:25:211,28.84,-3.56,-30.88,42.40
21:43:25:311,28.66,-3.49,-30.87,42.26
21:43:25:411,28.88,-3.20,-30.98,42.47
21:43:25:511,29.05,-3.37,-31.09,42.68
21:43:25:611,28.08,-3.46,-31.07,42.03
21:43:25:711,28.49,-3.23,-30.87,42.13
21:43:25:811,28.56,-3.42,-31.40,42.59
21:43:25:911,29.24,-3.43,-30.77,42.59
21:43:26:011,29.12,-3.62,-30.99,42.68
21:43:26:111,28.44,-3.61,-31.40,42.52
21:43:26:211,28.83,-3.76,-31.10,42.57
21:43:26:311,28.94,-3.38,-31.40,42.84
21:43:26:411,29.21,-2.61,-30.95,42.64
21:43:26:511,29.23,-3.51,-30.66,42.51
21:43:26:611,28.72,-2.93,-30.43,41.94
21:43:26:711,28.87,-3.29,-30.98,42.47
21:43:26:811,28.94,-2.64,-30.32,41.99
21:43:26:911,28.35,-2.61,-30.63,41.82
21:43:27:011,28.55,-3.77,-30.67,42.07
21:43:27:111,28.46,-3.60,-30.45,41.84
21:43:27:211,28.78,-3.11,-30.87,42.32
21:43:27:311,28.61,-2.94,-30.65,42.03
21:43:27:411,28.96,-3.36,-30.44,42.15
21:43:27:511,28.74,-3.76,-30.67,42.20
21:43:27:611,28.85,-3.38,-30.98,42.47
21:43:27:711,28.68,-3.22,-30.96,42.33
21:43:27:811,29.12,-3.72,-30.99,42.69
21:43:27:911,28.77,-3.46,-30.34,41.95
21:43:28:011,28.65,-3.42,-31.50,42.71
21:43:28:111,28.79,-3.20,-30.44,42.02
21:43:28:211,28.28,-3.61,-30.13,41.48
21:43:28:311,28.74,-3.49,-31.40,42.71
21:43:28:411,28.87,-3.28,-30.76,42.31
21:43:28:511,28.45,-3.70,-30.88,42.15
21:43:28:611,28.69,-3.29,-30.01,41.65
21:43:28:711,28.60,-3.14,-30.87,42.19
21:43:28:811,28.58,-3.39,-30.12,41.66
21:43:28:911,29.05,-3.45,-30.77,42.45
21:43:29:011,28.63,-3.86,-30.88,42.29
21:43:29:111,28.87,-3.11,-31.39,42.76
21:43:29:211,28.58,-3.22,-30.87,42.19
21:43:29:311,28.61,-3.96,-31.21,42.52
21:43:29:411,29.35,-3.15,-30.87,42.71
21:43:29:511,29.35,-3.23,-30.87,42.72
21:43:29:611,29.01,-2.64,-30.85,42.43
21:43:29:711,28.93,-2.38,-31.48,42.81
21:43:29:811,28.50,-3.14,-30.54,41.89
21:43:29:911,28.98,-3.09,-30.87,42.45
21:43:30:011,29.11,-3.72,-31.31,42.91
21:43:30:111,28.66,-3.59,-30.77,42.20
21:43:30:211,28.67,-3.49,-30.55,42.04
21:43:30:311,28.52,-4.05,-30.78,42.16
21:43:30:411,27.99,-3.56,-30.76,41.74
21:43:30:511,28.82,-3.84,-30.99,42.49
21:43:30:611,28.56,-3.50,-30.77,42.13
21:43:30:711,28.98,-3.09,-30.87,42.45
21:43:30:811,28.71,-3.10,-29.90,41.57
21:43:30:911,28.84,-3.56,-30.88,42.40
21:43:31:011,28.66,-3.49,-30.87,42.26
21:43:31:111,28.65,-3.67,-30.56,42.05
21:43:31:211,28.60,-3.12,-30.65,42.03
21:43:31:311,28.47,-3.42,-30.66,41.98
21:43:31:411,28.56,-3.42,-31.18,42.42
21:43:31:511,28.88,-3.27,-30.23,41.93
21:43:31:611,28.96,-3.27,-30.66,42.30
21:43:31:711,28.40,-3.15,-30.54,41.82
21:43:31:811,28.45,-3.44,-31.61,42.67
21:43:31:911,29.05,-3.37,-31.09,42.68
21:43:32:011,29.06,-3.17,-30.98,42.59
21:43:32:111,28.98,-3.18,-30.65,42.30
21:43:32:211,28.66,-3.33,-31.72,42.88
21:43:32:311,28.76,-3.66,-30.45,42.04
21:43:32:411,28.58,-3.39,-30.23,41.74
21:43:32:511,28.90,-2.92,-30.54,42.15
21:43:32:611,28.95,-3.37,-30.98,42.53
21:43:32:711,28.76,-3.56,-30.45,42.03
21:43:32:811,28.78,-3.38,-30.12,41.80
21:43:32:911,28.95,-3.55,-30.45,42.17
